image_stem,relative_path,physical_meter_id,source_session,domain,split,annotation_exists,note
src_003_20260818_110000,raw/images/src_003_20260818_110000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_111000,raw/images/src_003_20260818_111000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_112000,raw/images/src_003_20260818_112000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_115000,raw/images/src_003_20260818_115000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_115100,raw/images/src_003_20260818_115100.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_115200,raw/images/src_003_20260818_115200.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_115400,raw/images/src_003_20260818_115400.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_115600,raw/images/src_003_20260818_115600.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_120000,raw/images/src_003_20260818_120000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_120200,raw/images/src_003_20260818_120200.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_120400,raw/images/src_003_20260818_120400.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_120600,raw/images/src_003_20260818_120600.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_120800,raw/images/src_003_20260818_120800.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_121000,raw/images/src_003_20260818_121000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_121800,raw/images/src_003_20260818_121800.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_122000,raw/images/src_003_20260818_122000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_122200,raw/images/src_003_20260818_122200.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_122400,raw/images/src_003_20260818_122400.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_122600,raw/images/src_003_20260818_122600.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_122800,raw/images/src_003_20260818_122800.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_123000,raw/images/src_003_20260818_123000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_123200,raw/images/src_003_20260818_123200.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_123400,raw/images/src_003_20260818_123400.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_123600,raw/images/src_003_20260818_123600.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_123800,raw/images/src_003_20260818_123800.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_124000,raw/images/src_003_20260818_124000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_124200,raw/images/src_003_20260818_124200.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_124400,raw/images/src_003_20260818_124400.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_124600,raw/images/src_003_20260818_124600.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_124800,raw/images/src_003_20260818_124800.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_125000,raw/images/src_003_20260818_125000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_125200,raw/images/src_003_20260818_125200.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_125400,raw/images/src_003_20260818_125400.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_125600,raw/images/src_003_20260818_125600.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_125800,raw/images/src_003_20260818_125800.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_130000,raw/images/src_003_20260818_130000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_130200,raw/images/src_003_20260818_130200.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_130400,raw/images/src_003_20260818_130400.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_130600,raw/images/src_003_20260818_130600.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_130800,raw/images/src_003_20260818_130800.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_131000,raw/images/src_003_20260818_131000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_131200,raw/images/src_003_20260818_131200.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_131400,raw/images/src_003_20260818_131400.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_131600,raw/images/src_003_20260818_131600.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_131800,raw/images/src_003_20260818_131800.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_132000,raw/images/src_003_20260818_132000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_132200,raw/images/src_003_20260818_132200.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_132400,raw/images/src_003_20260818_132400.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_132600,raw/images/src_003_20260818_132600.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_132800,raw/images/src_003_20260818_132800.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_133000,raw/images/src_003_20260818_133000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_133200,raw/images/src_003_20260818_133200.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_133400,raw/images/src_003_20260818_133400.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_133600,raw/images/src_003_20260818_133600.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_133800,raw/images/src_003_20260818_133800.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_134000,raw/images/src_003_20260818_134000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_134200,raw/images/src_003_20260818_134200.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_134400,raw/images/src_003_20260818_134400.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_134600,raw/images/src_003_20260818_134600.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_134800,raw/images/src_003_20260818_134800.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_135000,raw/images/src_003_20260818_135000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_135200,raw/images/src_003_20260818_135200.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_135400,raw/images/src_003_20260818_135400.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_135600,raw/images/src_003_20260818_135600.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_135800,raw/images/src_003_20260818_135800.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_140000,raw/images/src_003_20260818_140000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_140200,raw/images/src_003_20260818_140200.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_140400,raw/images/src_003_20260818_140400.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_140600,raw/images/src_003_20260818_140600.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_140800,raw/images/src_003_20260818_140800.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_141000,raw/images/src_003_20260818_141000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_141200,raw/images/src_003_20260818_141200.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_141400,raw/images/src_003_20260818_141400.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_141600,raw/images/src_003_20260818_141600.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_141800,raw/images/src_003_20260818_141800.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_142000,raw/images/src_003_20260818_142000.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_142200,raw/images/src_003_20260818_142200.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_142400,raw/images/src_003_20260818_142400.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
src_003_20260818_142600,raw/images/src_003_20260818_142600.jpg,meter_X_cam192.168.25.213,src_003,A,train,true,個体Xメインsession
